movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
13,Balto (1995),Adventure|Animation|Children
7361,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi
8531,White Chicks (2004),Action|Comedy|Crime
79057,Predators (2010),Action|Sci-Fi|Thriller
79091,Despicable Me (2010),Animation|Children|Comedy|Crime
79132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
79702,Scott Pilgrim vs. the World (2010),Action|Comedy|Fantasy|Musical|Romance
288513,Barbie (2023),Comedy